,Unnamed: 0,id,teacher_id,teacher_prefix,school_state,project_submitted_datetime,project_grade_category,project_subject_categories,project_subject_subcategories,project_title,project_essay_1,project_essay_2,project_essay_3,project_essay_4,project_resource_summary,teacher_number_of_previously_posted_projects,project_is_approved
86,16490,p170560,14a6063bfe6c6daa69a8137c8e7dae37,Ms.,NV,2016-08-02 13:56:15,Grades 6-8,Health & Sports,"Health & Wellness, Team Sports",Targeting our Love for Baseball: Hitting the Bulls-eye!,"At J.D. Smith Middle School we have a community that is coming closer together. At a Title I school with a low socioeconomic area, many students have struggles with home life. This is why it is essential to have after school programs to encourage students, teach them perseverance, teamwork, and fitness. \r\n\r\nBaseball/Softball are just one of the many activities that school students are taught. Our baseball team is still getting off the ground, because we have very few equipment to help us along the way. While sitting down with my students, we have come up with a plan to help get our team off the ground! Thank you for taking a look and helping us hit our TARGET of receiving these much needed team supplies!\r\n","Our school loves to compete and attend our basketball games. Our team would love to add another sport to our school community. To receive these supplies would get us one step closer to becoming a competitive team. Our team absolutely needs gloves, since we don't have any, and a pitcher trainer to help us focus on throwing the ball.\r\n\r\nBaseball teaches students the art of teamwork, endurance, fitness wellness, and perseverance. All of these qualities are essential to live a healthy lifestyle in adulthood. Endurance is not just bound to physical activity, but it will also help students endure their hardships and persevere; becoming physically and mentally stronger than ever. Teamwork and perseverance will teach students to never give up inside and outside the classroom. As a team we have decided that gloves, a pitcher trainer, and storage were the next steps in our goal of creating our team.",,,"My students need baseball gloves, a pitching-hitter trainer, bat, ball, and glove storage for our supplies to promote fun and healthy exercise on a daily basis.",15,1
87,100946,p206972,4b16d3c90d46edbc5ca082abbf7d7777,Ms.,IL,2017-02-18 19:27:50,Grades 6-8,"Literacy & Language, Special Needs","Literacy, Special Needs",Exploring Graphic Novels,"My students are middle school students from a high-poverty urban area.\r\nThey are individuals with exceptional learning needs, meaning that each student is very different from the others and they learn differently from their same-age peers. Their academic abilities and performances are currently at various levels, requiring that their work be very different. Providing for these differences helps my students to be successful. It also helps them to perform at a level similar to that of their same-age peers.  They struggle to enjoy reading, so providing them with high-interest books could really help them to learn to love it.","My students struggle to enjoy reading.  They typically say that they do not like to read, and I keep telling them that we just need to find something that they like to read about.  As a result, I am making it my goal to obtain high-interest books for my students to read.\r\n\r\nGraphic novels are a great way to convince students to enjoy reading before they know what is happening!  In the past, I have found that students will scorn many books, but immediately become enthralled with a graphic novel.  I hope to find similar success with my students in the future!",,,My students need assorted high-interest graphic novels in order to help foster a love for reading.,6,1
88,71778,p109444,f32cb9343ef6a48961ed288cdbb062b1,Teacher,CA,2016-07-11 14:58:52,Grades 6-8,Special Needs,Special Needs,Read and Understand Like Everyone Else!,"Most of our print-disabled students enter my resource classroom reading/writing/spelling three to four years below their current grade level. Our small, rural, middle school includes 53% socio-economically disadvantaged children. Needless to say, when I introduce another multi-disciplinary reading and writing intervention program to these students, they \""hang their heads in despair\"". \r\nEven with encouragement, accommodations, and students' hard work they will not be able to access grade-level curriculum without the support of audible books via personal tablets, \""leveling the playing field\"".","Personal tablets will allow our print-disabled students to download audible books to hear human-narrated voices reading grade level text, while watching VOICEtext highlighting the synchronised words across their screens. This will also provide good modeling of fluency, expression, and prosody. Background knowledge, vocabulary development, and comprehension skills are also benefits our students will reap. \r\nNow our print disabled students will be able to enjoy age-appropriate books for the first time in their academic lives! Their new tablets will support them in every classroom, allowing them to feel confident, saving time, and improving their grades; leading to a success that has previously alluded them.",,,My students need technical support devices (tablets) to enable them to download (grade-level) human-narrated audio textbooks and literature with VOICEtext highlighting.,0,1
89,116441,p152121,954dece2d34e83c40218ef74108233c0,Ms.,MI,2016-09-19 19:01:21,Grades 3-5,Literacy & Language,Literacy,Education Through Technology,"My students come mostly from the Middle East and most haven't even been to school due to war or financial issues.  My students come from limited schooling in their own language and are thrust into formal school settings with structure and rules. \r\nThey come to school eager and excited to learn.   My students are willing and want to start their educational journey.  I want, along with the community, to help these students to strive to the best of their capabilities.","The use of the supplies will be used on a daily basis.  Students will be able to listen to books, learn their alphabets, work on phonics, work on writing and math.  \r\nStudents who are new to this country will benefit the most because they will be able to go on educational websites that will help in their educational journey.  They are eager to learn that they will do anything to learn.  With the use of technology they will be able to expediate their learning. Also, the addition of technology would give my students a much needed boost of practice in the areas of listening and speaking.",,,My students need three ipads and their cases to use during literacy and math.,5,0
90,13416,p251236,f73af9f441b598046b3dba68bda8b288,Mrs.,FL,2016-10-09 10:52:22,Grades PreK-2,"Literacy & Language, Music & The Arts","Literature & Writing, Visual Arts",Publishers Need a Printer!,"I have truly amazing students!  My students attend an IB PYP school in Tampa, Florida.  Because my school is a magnet school, the students come from all over the county and from various socioeconomic statuses and they each have different academic needs. They are all different, but they all share of love of learning!  The excitement my students feel for learning is contagious.  They come in each morning with smiles on their faces, and they embrace each challenge with open arms.","As we increase the amount of technology in our classrooms, the need for a color printer with a scanner increases.  My first graders love to research and create on the computers.  They create power point presentations, write books, and so much more.  \r\n\r\nMy first graders need a color printer to showcase all the amazing things that they are creating on computers daily!  This printer will allow them to print out their creations so that it can be shared with everyone and be taken home to be proudly put on display.  This printer will also allow me to color print projects for them in order to heighten the engagement.",,,"My students need access to a color printer for centers, projects, and published writing pieces.",28,1
91,181127,p081531,6f7c9e290d7f8dbe7aabc7651f0a0b99,Mrs.,OH,2016-08-17 15:22:48,Grades PreK-2,Health & Sports,Health & Wellness,"Chicka, Chicka, Boom, Boom! Help us cool our classroom!","\""A person is a person no matter how small.\"" I teach a group of eager, excited and fun kindergarten students in an inner city school in Columbus, Ohio. 90% of my students are Somalian and range in abilities with English speaking from proficient to not at all depending on when they immigrated to the United States. Many of my students are refugees from Somalia and have never been in school before. \r\n\r\nMy students have a wide range of academic abilities from very low to extremely high. Some have had preschool experience but many have not. Kindergarten is going to be their first experience being away from home and learning how to learn and be a part of a school community. \r\n\r\nI hope you will take the time to explore and get to know them. They are an amazing group of eager little learners and I am so excited to be able to help them grow into Thinkers. \r\n\r\n\r\n","My students are energetic and love to learn through hands on learning and play. We do not have air conditioning in our building currently. It can often be so warm is it hard to concentrate and remained focused. We love to learn through movement and dance but it is often so warm that is almost impossible. Being able to cool down will help us to be able to continue to get up and get moving to help us be better thinkers and most of all let us have FUN with our learning. \r\n\r\nBeing able to learn collaboratively is a critical aspect to growing as thinkers and life-long learners.\r\n\r\nHaving an air conditioner will help my students be able to move more in the classroom and therefore will help us improve cognition, learning and impact our overall growth in all aspects of our day. Having a safe, comfortable and engaging learning environment will contribute to all parts of our day. \r\n\r\n\r\n",,,My students need a portable air conditioner in our classroom to help us stay cool.,1,1
92,167398,p002482,c27352b1817b956e2bd722897d9a6552,Ms.,HI,2016-04-29 16:21:09,Grades 3-5,"Applied Learning, Health & Sports","Character Education, Health & Wellness",Help Keep Us Motivated!,Do you remember working hard towards that special incentive or reward?  Remember how great it felt and how proud you were when you finally earned it?  I have the opportunity to work with a large variety of students who struggle with academic and behavioral challenges in my elementary school.,"My students are diverse in their grade levels as well as backgrounds, who attend a primarily military school.  It is a transitional environment, therefore many of my students have difficulties with making good choices due to deployments, moving, and family struggles.","As the School Behavior Health Specialist, I work with students from kindergarten to 5th grade.  These students come me with a gamut of challenges, both academic, behavioral, emotional and social.  I work with the students and their teacher to develop behavioral plans to maximize success in the classroom. These rewards are essential to motivate students to make good choices.","These incentive materials will help to impact behavioral in these students which leads to positive changes in their live. Many students are able to feel proud when they reach their goals and learn that they too can be successful.  However, without gracious donations, the high reward incentives are very limited.  Any donations are greatly appreciated! Mahalo!","My students need stimulating incentives to motivate behavioral choices. Help build my treasure box with items like; Squeeze Balls, Sticky Hands, and small toys, etc.!",2,1
93,156750,p095564,819890cb0d64f5303e313795e6257498,Ms.,PA,2016-05-09 09:49:11,Grades 9-12,Music & The Arts,"Music, Performing Arts",NEW MUSIC STANDS FOR BENTON MIDDLE/HIGH SCHOOL BAND,My students love to create music and perform. We are very proud of our reputation for performing concerts with great challenging music.  We desperately need better stands to be able to accomplish this goal. Many of our current stands are broken and music falls right the the ground. Please help us!,"We are a small farming community in rural Pennsylvania graduating 60 or less per graduating class.  We are small but mighty when it comes to music!  We have a Concert Band, a Marching Band and small ensembles, like Percussion Ensemble and Flute Ensemble.",Students will use these stands EVERY DAY in a group band setting and in practice rooms.  We have 4 practice rooms which need stands so the kids can practice diligently during study halls or after school.  They will be used in group band as well as on the stage for concerts!,"These stands and the rack will be wonderful for my students, who are always asking when can we get better stands.  They will be able to place music on them and adjust them without the frustration of them sliding to the ground or leaning or wobbling so they can't read their music!",My students need these music stands to replace old stands.  The current stands we have are breaking due to prolonged use.,0,1
94,86412,p142587,284e9f5ff7b64d7a1e6d0cfd0509ff07,Mrs.,IA,2017-04-18 14:41:45,Grades 6-8,Literacy & Language,Literacy,New Literacy Unit Books!,"I work as a middle school literacy special education teacher in an urban school. I have students from all backgrounds and cultures. One thing is consistent with my students though, they all have learning disabilities or difficulties in some shape or form. It is my personal goal to instill a lifelong love of learning into my students, and to help them find ways to cope with having learning disabilities. At the end of their year with me, it's my goal to have not only helped build their foundational skills, but to have built their confidence around academics. All students CAN be successful, and my job is to teach that to my students.","I have found that my students tend to be male, and are often reluctant readers. I would love to revamp my literacy units using books that are more engaging to my students. The subject matter of the books in this project are much more exciting to my students, and will ensure that my students are reading and working with books that they will enjoy reading! Having classroom sets means that my students can independent read, partner read, engage in fluency activities with the texts, and have an easier time looking back in the text when we do activities. They would love some new books!",,,My students need class copies of books for our literacy units next year. I currently do not have enough copies of these books for each student to have one to read.,1,1
95,99382,p002446,74d0cdd8d66259cc15faecba16988245,Ms.,TN,2016-10-17 15:56:34,Grades PreK-2,Math & Science,Mathematics,"iLearn, iGrow, iSucceed with iPads!","I teach first grade in a Title I, high needs school. Most of our students are on government assistance and receive free breakfast and lunch. At least 40% of my students are English Language Learners (mostly Spanish speaking) and/or Special Needs students. My first grade classroom consists of students who do not have access to technology on a daily basis, unless it is in a classroom setting.\r\n\r\n    My students are energetic, eager learners who thrive off of supplemental resources for math, reading, science, and social studies.\r\n\r\nFirst graders come to school with the motivation and excitement of learning new things. With the iPads, they will be able to experience these interactive educational tools that will prepare them for success as digital learners.","How can we close the achievement gap when students do not have the necessary materials to succeed? We try to put current technology into their hands, but funding for schools is limited, and technology and textbooks often gets pushed to the back burner until more funding is found. Our classroom textbooks are outdated. When technology is placed in their hands, their love of learning grows because they can go anywhere, at any time, without the restrictions of an outdated textbook.\r\n\r\nHaving two iPads in my classroom will help more of my students participate in engaging lessons without having to sit out on the sidelines and \""watch\"" their classmates take off with the technology and wait their turn.\r\n\r\nStudents will be able to use a more hands-on approach to the ever so quickly changing world around them. They will be able to take virtual field trips to places that most of us take for granted, instead of relying on the teacher to just tell them about it.\r\n\r\nI would also be able to download apps for various reading and math practice skills for both reading and math centers which would allow me to have activities for both my highest performing and most struggling students. My classroom just does not yet have the level of technology needed to meet their learning needs. This project will help to get us closer to closing that gap.",,,My students need two iPad minis to integrate technology into their learning.,1,1
96,41172,p213095,2a41c5fa1035b6784836d472aaced2eb,Ms.,GA,2017-03-31 12:11:39,Grades PreK-2,Literacy & Language,Literacy,Leveled Books for Everyone!,"We are in a small school serving students from pre-k through 5th grade.  We have an amazing, diverse community at our school where parents and teachers work together for the betterment of our kids.  As of this school year, we are a title I targeted assistance school. \r\n\r\nI have a great group of kids.  We are lucky to have a smaller class size of 17 students.  We have a very diverse group of kids in our small classroom where we learn about and celebrate each others differences.  These kids work hard each and every day they come to school.  We have so much fun while we are learning in our classroom each day, many students from our class wish they could also come on Saturday!","In today's kindergarten, children learn to read.  It is an extremely exciting time in a child's life when they can begin to read books on their own.  Every child in my room wants to be pulled into reading groups every single day.  They are so eager to read and to learn new information through their own reading.  \r\n\r\nMy kids have been asking for more books to read, as they have already read most of them in our classroom library that are on or below their current reading level.  It's a teacher's dream to have kids that are so excited about reading and learning.  I myself have a strong love of reading and hope to instill a love of reading in all of my kids.  Providing options for students to read on their level really helps to encourage a love of reading, helps them to become better readers, and builds confidence to develop strong readers.",,,My students need a variety of books to choose from that are on their reading level.  The students in my class have such varied independent reading levels from A all the way to J!,2,0
97,96633,p087818,22638241705eb4552f13883d6529b220,Mrs.,RI,2016-10-03 15:14:58,Grades PreK-2,Literacy & Language,Literacy,Dr.Seuss and others can help us to READ,\r\n       Our school has approximately 600 students and twenty-five classrooms ranging from kindergarten to fifth grade.  Ninety-one percent of students are on free lunch assistance with single parent families. The average salary in their homes is below the national average. \r\n     I teach twenty-six first graders.  The nurturing environment they receive in my classroom for 180 days is just as important as the one they receive at home..   We strive to SOAR everyday at our school.   Help us be better students every day.,"The Cat in the Hat is an all time favorite with me.  Dr. Seuss was a wonderful author to children and I want to share his writing with my class. The pictures and rhyming words help kids learn to read.  I know my enthusiasm raises when I read this book. I want my twenty-six first graders reading it with enthusiasm on their own.  Fox in Sox is an all time favorite that shares a silly fox with sox to all the students in first grade across the world.  I know you remember \""One fish, two fish, red fish, blue fish can be recited by all six year olds by June.  The opportunity fo rme to receive these books in a few months will guide my students with learning their sounds and blends in reading every day.\r\nPlease help my class make these books available to them and future students in my room.\r\n",,,My students need Dr. Seuss and other magnificent books to read,15,1
98,86965,p037021,976683214bbb0e5c202427371294f2bd,Mrs.,AR,2017-04-25 15:15:57,Grades 9-12,Applied Learning,Community Service,Buttons for Bulldogs,"I love my town! Decatur is a very small town in Arkansas with a population of 1,500 people. We don't have have very much industry to help out with the many needs that the school has. Over  90 percent of our students qualify for free lunch. We are a Title 1 school.\r\nWe don't have a lot of extras but we do have time and a heart to help our students. Despite the odds stacked against us I know that with help we can make a difference!\r\n",With this button maker kit we will be able to serve many needs. We would like to use this as a tool for student recognition. This would be used for Honor Roll and helping to improve Attendance by using it as an award for good behavior and decision making.\r\n     It would also be an excellent tool to use for teaching politics and for helping the students who are running for Officers in clubs and classes.\r\nWe would also love to have this to help promote school spirit and attendance to a lot of different athletic events such as parent night and Homecoming. Many of our students can't afford school shirts and Jackets etc.\r\n By wearing a custom button it is our hope that the students will fill more involved and a part of our school and community.,,,My students need a button machine to help with fundraising for special events through out the year.,0,1
99,153602,p079384,cb18e0b9c1bbd556d181a2070b7e0364,Mrs.,CA,2017-04-28 22:39:21,Grades PreK-2,Math & Science,Mathematics,Teaching Math With Manipulatives,"My preschool students are children who are three to five years of age.  My school is in sunny San Pedro, California. The children from San Pedro come to school each morning ready to learn and grow.  There is never a dull moment in our class; my students are busy bees moving from one interest area to another.  They are eager to learn, explore, and experiment with the instructional materials and centers I set up for them.  We need more materials for the children to engage with, materials that will foster their interest in technology, literacy, math, science, art, and engineering. \r\n","My student's will learn number recognition and develop counting skills while engaging with the Learn to count picture puzzles and number Sequencing puzzles. While building with the 3-D Magnet Builders and Crystal Building Blocks, my student's mathematical skills will be supported and strengthened in concepts such as measurement, comparison, number estimation, symmetry and balance. My student's will build number skills as the they sift and make exciting number shell discoveries with every scoop at the sand table. The sort a shape activity board will allow my youngest students to learn colors, shapes and sorting skills as they fit various shape pieces into place.",,,My students need instructional materials to engage with to increase both interest in and enjoyment of mathematics.,10,1
100,91511,p160268,1c0adb98372d053e136e56649dd123c6,Ms.,CA,2016-11-18 19:25:51,Grades 3-5,"Literacy & Language, Math & Science","Literature & Writing, Mathematics","21st Century learners, 21st century technology!","I teach in a dual immersion 4th grade classroom. We teach 50% of the day in English and 50% in Spanish. My classroom is the English model for two classrooms of 30 students. Half of the 4th grade students at my school come to me to learn science, writing, and math in English in the morning, and the other 1/2 come to me in the afternoon to learn the same subjects.  Most of my students are English Learners; however, many come to this school speaking English only. This school is a Title I school and is located in a high poverty area where many of the families are farm workers. \r\n\r\nWe continually discuss how to implement the 4 Cs into our lessons: collaboration, communication, critical thinking, and creativity. We also never forget about the 5th and most important \""C,\"" which is CARING! I have a great bunch of students who are enthusiastic about learning and reading.  Most importantly, my students are so grateful for any help that we may receive. I really have a great group of kids who are so sweet.","My students are becoming better researchers, project builders and writers each day.  Currently, we do not have the ability for students to print and publish their work.  All of my students have small student laptops, but they do not have the ability to print and our school printer is rather far away and is overworked! We currently have plenty of paper but nothing to do with it! I would like my students to freely print their work in order to display and share with other students and their families.   We need printers, ink and computers that can connect to the printer.  \r\nI would like my students to have a printing station within the classroom so that they can create colorful displays and start to love to use the resources available to them.   This is a 21st-century skill and I would like my students to be able to learn a skill that is needed in the real world!",,,"My students need laptops that have printing abilities. I would like my students to have the ability to work on their projects and to print their works, research and writings.",15,1
101,99649,p004097,279a252bb6100e4524f9a85108abd08b,Mrs.,TX,2016-12-20 22:34:22,Grades 3-5,Health & Sports,"Gym & Fitness, Team Sports",Fun & Physically Fit,"My school is comprised of four hundred students in grades kindergarten through fifth who come from diverse backgrounds.  We are a high-poverty school, and a majority of our students are on free and reduced lunch.  My students are surrounded by fantastic teachers, principals, and other staff work hard to provide rigorous academics in a safe environment.  As a result, we are consistently among the top-performing schools in our area.\r\n\r\nThis year, we are working very hard to get all of our students excited about healthy lifestyles and physical fitness!  Many of my students have very limited opportunities to participate in extracurricular activities.  It is my goal to expose them to a variety of fitness and health related activities.  I can't wait to see the excitement on my students' faces if and when we receive our new equipment!","With a variety of PE equipment, my students will be able to expand their knowledge of what it means to be healthy and physically fit. We will use these materials to learn new ways to work together, become stronger mentally and physically, and learn more about how our bodies work.\r\n\r\nYour generous donations will aid my kindergarten students in refining their gross and fine motor skills, and also challenge my older students to strategize and cooperate, all while learning to live a healthy lifestyle.\r\nMy hope is that my students would then take what they've learned in my elementary PE class and turn it into a lifetime of healthy living.",,,"My students need a variety of balls, balance aids, and other products to provide a well-rounded physical education experience.",1,0
102,108125,p037066,e4656eb189b8c25e6a90b0e3fb8bc38c,Ms.,CA,2016-11-22 06:12:57,Grades 3-5,"Literacy & Language, Math & Science","Literacy, Mathematics",Project Some Light Over Here!,"Hello!, thank you for wanting to learn more about my class! My students are Deaf and Hard-of-Hearing. The ages range from 6-8 years old. They don't have a lot of the life experiences as other students do. Almost all of my class qualifies for free lunch. Some of them ride the bus for over an hour a day (one way) to get to school. I would like to make learning fun and interactive.\r\n\r\nThey don't have access to language as other students. I want my students to become engaged in their learning and be able to interact with it. I can show them pictures in a book but then I have to put the book down so I can sign the story. So they lose the visual. It isn't possible to sign and hold a book at the same time.\r\n\r\nMy classroom is special because my students require a lot of visual aids and pictures.  I would love to show them a video of a whale or show them pictures about what we are learning.",This technology would benefit my students so much. They would be able to see the text or book that we are reading and see me sign at the same time. By using a projector and document camera I can make the curriculum more visual for my students. My students don't all have the same background knowledge as other students. They don't have incidental learning. They are very literal and need to have pictures or videos. \r\nThe projector will help to make their lives expand to bigger and more exciting places than just the classroom. Right now I can't even do a read aloud unless I have an interpreter. I can't do any close reading with the whole class because they won't be able to see the text. This technology will give the same access to the books as hearing students. Using the document camera will also help the students be able to interact with technology. This is something that they don't get to do often.,,,My students need a projector to be able to look at texts and pictures and be able to see me sign at the same time to get access to the classroom curriculum.,0,1
103,14517,p019188,ec3de171b8d5d2c23039d239f4ec19a6,Mr.,GA,2016-09-13 10:58:45,Grades 9-12,Music & The Arts,"Music, Performing Arts",Buzzing With Books,"\""Help us to be the best band that we can be.\"" One of my students has said to me multiple times. My band students are extremely hard working and have the potential to be amazing musicians. They continuously rise to the challenges put in front of them and challenge me as a teacher. Because of this I want to continue to help them move forward as musicians and people giving them tools to work through life. Because, as a music teacher you teach children using music as the vehicle.","The Foundations for Superior Performance method books does exactly what is in the title. It lays the foundation for students to have superior performance skills. What is great about it is it has it all in one book. Using this book students will have a better idea of how to warm-up on their personal instrument, have all of their scales and different scale exercises in one place, and as a full band students will be able to work on their ear in an ensemble setting with beautifully arranged chorales. This is a book that will be used everyday in class for everything that was just mentioned. My students will have a better opportunity hone their skills in class with the use of this book.",,,My students need books made to help them perfect their craft.,0,1
104,48486,p081808,29d8b50ecde10f77334122d0f2ad6bbb,Ms.,FL,2016-07-20 16:08:01,Grades 9-12,Health & Sports,Health & Wellness,PE/Health Technology,"As a teacher in a low-income/high poverty school, my students are faced with several challenges both in and out of the classroom. Despite the many challenges they face, Our school is working hard to create a positive learning environment where teachers can help guide our students to becoming well educated and productive citizens in our society. I am looking to keep things simple and provide my students with creative and meaningful learning experiences in health/wellness, physical education and life skills.","This iPad will make a difference in marking attendance, grades and assessments, lessons, and all students records (run times, scores, behavior, effort etc.) Which can be accessible anywhere I have my iPad. The iPad will help integrate technology into the Physical Education.\r\n\r\n In addition, to recording students times in wide variety of ways. I can take a photo of each student as they cross the finish line with their time superimposed over the picture. I can tap on a students name when they finish a run and their time will be recorded. Or of course I can use a conventional stopwatch-like app as well. There are many apps available for Physical education and physical fitness.  These apps would enhance the learning and also bring in a fun new twist to the curriculum.\r\n\r\nI would be able to use the iPad for skill cues, lessons, teams, instructions, new games, activities and drills. With the iPad I would be able to wirelessly project them onto a screen in the gym. Not only are these instructions now large and easy to read (students don't need to try to decipher my messy handwriting) but I can save my instructions for future use.\r\n\r\nWith technology the possibilities are endless in the PE/Health.",,,My students need of an iPad for Health and Physical Education,3,1
105,36738,p184043,01e628d4f7e97fb961f16dba8a94596f,Mr.,IL,2016-10-20 12:25:39,Grades 3-5,Music & The Arts,Visual Arts,Ceramics: Our History in Clay and Sculpture,"Our school is a diverse school from different  backgrounds that come to school excited to be involved with other students and teachers.   100% of our students qualify for free breakfast, snacks, and lunches at my school.  Students don't always have the advantages at home so they are inspired to use the tools that our school provides for them. \r\nThe tools that we provide our students will give them experiences to lead to their success in the future.   The teachers strive to give students examples and positive experiences in their young lives to help their enrichment.","This project is about starting a ceramics program in our school to get students hands on experiences in building and creating.  Every teacher aspires to get students to think critically while reflecting on our history and the art of ceramics is the perfect way to get students to design, plan, and build their projects step by step.\r\n\r\nStudents are itching for something of value to build or make that they can call their own. Clay is a real world craft, and the oldest craft on this earth in the hands of students will teach students about human life and survival. Ceramics is not just an sculptural art form but was necessary for human survival and is still widely used today. The students will be able to create something permanent that they will remember their entire life.",,,My students need the safety and basic equipment to start a ceramics program.,0,0
106,54219,p181294,4f3254bf395e0a6d52c3cc81d1c75b2f,Mrs.,LA,2016-08-23 15:59:15,Grades PreK-2,Literacy & Language,Literacy,Louisiana Flooded Classroom,"I teach in Baton Rouge where the recent flooding occurred. Most of my students are displaced and our school was severely damaged. We have 4-5 feet of water damage In our school building. We lost all school supplies and textbooks we had in our classrooms and storage areas.  Additionally, we lost miscellaneous teaching materials for work stations and all classroom supplies. We Lost workbooks, bookshelves, file cabinets computers laptops iPads. My students have lost a lot of personal uniforms shoes clothing as well. Any help would be greatly appreciated.","The learning tools will make there learning environment a positive place. It will help them to over come any experience that they are going though during the flooding in Louisiana. We loss all classroom and teacher supplies. We lost our reading center activities , computers. Etc. These supplies would really help my students and making the environment help. We are in a totally new place and I want to make everything normal for my students. We would appreciate all the classroom and teachers supplies that will be help to the learning of the students. And the classroom teachers . And school",,,My students need classroom supplies that will make the class environment a postive learning experiences.,0,0
107,42168,p027780,d5764b98fcc8bd9e71ae629e571bcd90,Mrs.,SC,2016-06-07 21:29:50,Grades PreK-2,Literacy & Language,Literature & Writing,"Paper, Pencils, Markers, OH MY!","My students are a great energetic group of five and six year olds that come to school eager to learn and grow. They love learning new things and doing experiments with hands on learning. They come from low income families and don't always get a variety of learning experiences at home. \r\n\r\nOur school is located on the far Northern end of our county and is a Title I school where a vast majority of the students receive the free lunch program and also receive food supplies for the weekend. No matter what their struggles are, these students walk into my classroom full of life and are excited to find out what is in store for them that day.","This year our classroom supply money has been cut until just the prospect of having enough items to last for the year is  overwhelming. The requested materials will benefit the students because we use dry eraser markers for everything. The students use them in our literacy and math stations to record their answers, they are always excited to get new ones.. \r\n\r\nThe ring binder will serve as a place to store their markers until they are needed. We will use the card stock for art projects and to make new literacy and math projects and to have for framing students work.",,,"My students need DRY ERASER MARKERS  CHISEL TIP,\r\nDRY ERASE FINE TIP RED COLOR PACK Markers, CARD STOCK, and 7''X 10'' CLEAR VINYL POUCH for storage.",20,0
108,161230,p188079,dd2dc5a9b90432d232e77f53c4c10055,Mrs.,AZ,2016-11-06 12:21:04,Grades 6-8,Special Needs,Special Needs,Easy as 1-2-3!,"I am fortunate enough to work with exceptional students every day. My students are unique learners who express themselves creatively and honestly. They see outside the box and beyond themselves. They are caring, empathetic and have  strong desire to help others. Many of my students have struggled with feeling different or left out, so they are very in touch with the feelings of others. They are the first kids to welcome someone and offer a shoulder when needed. They are compassionate and sensitive.\r\n\r\nIn addition, my students are funny and witty! They make me laugh out loud regularly and I can't believe how quick they come up with a clever retort or an alternate solution to a problem. They love to prove me wrong or beat me in a challenge. I would like to say I win often, but this is not the case with this bright group.\r\n\r\nFinally, my students are positive and optimistic. They are at the stage in life where some kids can become negative and sullen. Even though my students are pre-teens and teenagers, they haven't lost their toddler like imaginations and youthful silliness. They aren't \""too cool\"" and they smile and laugh and spread joy.","My students named this project because they said these items would make learning easy! These items were personally requested by my class. I wanted to hear what they believed they needed and which items would help them. My students will use the privacy folders to stay focused and the reading trackers to help the stay on track!\r\n\r\nThe students know their needs and enjoyed helping me shop for this project! I think students learn the best when they feel heard and they are active participants in their education. These materials will help students improve their study, reading and writing skills.",,,My students need a bean bag chair for comfortable reading and erasable pens for creative writing! Students will love using the Apple Pen for a variety of reasons! It makes learning fun and easy!,1,0
109,102830,p211428,78829127de70bb4561efd5d160cd6bc7,Ms.,NY,2016-09-07 15:07:07,Grades 9-12,Special Needs,Special Needs,Start the Year Strong!,"I have eight amazing students! My students have Autism and attend a special school to meet their needs. They are 17-21 years old. My students love art, computers, and writing. They are kind, caring, and love to tell jokes. \r\n\r\nMy students come from Harlem or the surrounding areas. The school they attend predominantly serves students of color who receive free or reduced-price lunch. The school serves students up to age 21, and most of my students will be graduating this year (at age 21).","These materials will help my students to start the school year in a well-stocked classroom. At the moment, the printer has no ink, and we have only one ream of paper. Ink and paper will allow my students to print their papers and projects. It will also allow me to print worksheets and activities that I have designed.  The laminator will allow me to create reusable activities and flashcards for my students. It will also allow them to preserve any work that they want to display. Starting off the school year with the materials we need will help set a positive tone for the rest of the year.\r\n",,,"My students need printer ink and paper so that they can print their essays and projects, and a laminator and laminating pouches so that we can make reusable materials.",3,1
110,48513,p105695,556f373fb3af0e85aa8ea8d19a72dbae,Ms.,LA,2016-07-16 19:49:34,Grades PreK-2,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",Super Supplies,We begin our day hanging our booksacks and taking out morning supplies. One classroom management tip that works is sharpening a few pencils in the morning! My class is amazingly smart.\r\n\r\nMy kids are very bright nd very inquisitive.\r\n\r\nThey love to be independent. They are taking ownership of their own learning. They walk into my classroom each day with bright eyes and ready to learn. They ask a million questions and can't wait to hear my answers. I love them dearly!,The materials I have requested will allow us my students to be more independent. I will be able to assign them jobs such as sharpening pencils and filling papers in binders. They will be able to visually see what's expected on display with the charts. They will learn responsibility and leadership skills through these materials.\r\n\r\nDonations to this project will allow my students to take responsibility for themselves and become more independent.\r\nWe will no longer waste time looking for a pencil sharpener and pencils to sharpen. We'll file our homework in our page protectors. This project will allow my students to take pride in our classroom and help with overall organization.,,,My students need pencils and pencils sharpeners because we use them everyday and it's the first thing that runs out. Laminating helps with durability and overall appeal of classroom material. Pocket charts help with organization.,3,1
